"Member.ID","Cross.Betweenness.Norm","Start.Date","End.Date"
"MEM0143",0,1948-01-01,1948-12-31
"MEM0156",0,1948-01-01,1948-12-31
"MEM0165",0,1948-01-01,1948-12-31
"MEM0168",0,1948-01-01,1948-12-31
"MEM0220",0.332336956521739,1948-01-01,1948-12-31
"MEM0225",0,1948-01-01,1948-12-31
"MEM0230",0,1948-01-01,1948-12-31
"MEM0231",0,1948-01-01,1948-12-31
"MEM0016",0,1948-01-01,1948-12-31
"MEM0049",0,1948-01-01,1948-12-31
"MEM0110",0.113190670289855,1948-01-01,1948-12-31
"MEM0215",0.0785075375258799,1948-01-01,1948-12-31
"MEM0008",0,1948-01-01,1948-12-31
"MEM0053",0,1948-01-01,1948-12-31
"MEM0164",0,1948-01-01,1948-12-31
"MEM0205",0,1948-01-01,1948-12-31
"MEM0210",0.346838557138358,1948-01-01,1948-12-31
"MEM0214",0,1948-01-01,1948-12-31
"MEM0044",0.144494328922495,1948-01-01,1948-12-31
"MEM0187",0.332336956521739,1948-01-01,1948-12-31
"MEM0190",0,1948-01-01,1948-12-31
"MEM0192",0,1948-01-01,1948-12-31
"MEM0163",0,1948-01-01,1948-12-31
"MEM0179",0,1948-01-01,1948-12-31
"MEM0206",0,1948-01-01,1948-12-31
"MEM0229",0,1948-01-01,1948-12-31
"MEM0521",0.828979468599033,1948-01-01,1948-12-31
"MEM0469",0,1948-01-01,1948-12-31
"MEM0505",1.61506523114392,1948-01-01,1948-12-31
"MEM0546",0,1948-01-01,1948-12-31
"MEM0438",0,1948-01-01,1948-12-31
"MEM0357",0,1948-01-01,1948-12-31
"MEM0541",0,1948-01-01,1948-12-31
"MEM0239",0,1948-01-01,1948-12-31
"MEM0301",0,1948-01-01,1948-12-31
"MEM0242",0,1948-01-01,1948-12-31
"MEM0363",0,1948-01-01,1948-12-31
"MEM0248",0.563757422504026,1948-01-01,1948-12-31
"MEM0309",0,1948-01-01,1948-12-31
"MEM0307",0,1948-01-01,1948-12-31
"MEM0249",0,1948-01-01,1948-12-31
"MEM0312",0.531694271911662,1948-01-01,1948-12-31
"MEM0313",0.227161961553945,1948-01-01,1948-12-31
"MEM0446",0,1948-01-01,1948-12-31
"MEM0535",0,1948-01-01,1948-12-31
"MEM0416",0,1948-01-01,1948-12-31
"MEM0487",2.07850901280618,1948-01-01,1948-12-31
"MEM0258",0,1948-01-01,1948-12-31
"MEM0567",0,1948-01-01,1948-12-31
"MEM0471",0.890122588135491,1948-01-01,1948-12-31
"MEM0373",0,1948-01-01,1948-12-31
"MEM0236",0,1948-01-01,1948-12-31
"MEM0358",0,1948-01-01,1948-12-31
"MEM0286",0,1948-01-01,1948-12-31
"MEM0525",0.320481707930757,1948-01-01,1948-12-31
"MEM0254",0,1948-01-01,1948-12-31
"MEM0434",0,1948-01-01,1948-12-31
"MEM0417",0,1948-01-01,1948-12-31
"MEM0240",0,1948-01-01,1948-12-31
"MEM0304",0,1948-01-01,1948-12-31
"MEM0477",1.27513220011802,1948-01-01,1948-12-31
"MEM0241",0,1948-01-01,1948-12-31
"MEM0554",0.0626216481131416,1948-01-01,1948-12-31
"MEM0403",0,1948-01-01,1948-12-31
"MEM0334",0,1948-01-01,1948-12-31
"MEM0468",0.360116459627329,1948-01-01,1948-12-31
"MEM0291",0,1948-01-01,1948-12-31
"MEM0247",0.0626216481131416,1948-01-01,1948-12-31
"MEM0485",0.0626216481131416,1948-01-01,1948-12-31
"MEM0537",0.0626216481131416,1948-01-01,1948-12-31
"MEM0543",0,1948-01-01,1948-12-31
"MEM0508",0,1948-01-01,1948-12-31
"MEM0526",0.82663562326842,1948-01-01,1948-12-31
"MEM0353",0,1948-01-01,1948-12-31
"MEM0514",0,1948-01-01,1948-12-31
"MEM0518",0,1948-01-01,1948-12-31
"MEM0560",0,1948-01-01,1948-12-31
"MEM0359",0,1948-01-01,1948-12-31
"MEM0570",0,1948-01-01,1948-12-31
"MEM0474",0,1948-01-01,1948-12-31
"MEM0336",0,1948-01-01,1948-12-31
"MEM0083",0,1948-01-01,1948-12-31
